"File","Line","GhostURL","Slug","Match","NewURL"
"E:\E_Data\Mkdocs_sic\docs\General\finally-got-192-mb-file-on-to-mobile-phone.md","14","__GHOST_URL__/2008/07/01/copying-big-files-to-the-mobile-phone/","copying-big-files-to-the-mobile-phone","E:\E_Data\Mkdocs_sic\docs\General\copying-big-files-to-the-mobile-phone.md","copying-big-files-to-the-mobile-phone.md"
"E:\E_Data\Mkdocs_sic\docs\General\first-pc-versus-current-2010-smartphone.md","16","__GHOST_URL__/2008/06/30/bye-bye-first-ever-pc-the-1985-era-ibm-jx-4-and-512/","bye-bye-first-ever-pc-the-1985-era-ibm-jx-4-and-512","E:\E_Data\Mkdocs_sic\docs\General\bye-bye-first-ever-pc-the-1985-era-ibm-jx-4-and-512.md","bye-bye-first-ever-pc-the-1985-era-ibm-jx-4-and-512.md"
"E:\E_Data\Mkdocs_sic\docs\General\high-definition-tv-recording-and-playback.md","14","__GHOST_URL__/tag/digitaltv/","digitaltv","NOT FOUND","NOT FOUND"
"E:\E_Data\Mkdocs_sic\docs\General\how-i-find-my-files-including-on-external-disks-and-dvds-blu-ray-movies-etc.md","22","__GHOST_URL__/2010/06/10/archiving-and-indexing-your-digital-photos/","archiving-and-indexing-your-digital-photos","E:\E_Data\Mkdocs_sic\docs\General\archiving-and-indexing-your-digital-photos.md","archiving-and-indexing-your-digital-photos.md"
"E:\E_Data\Mkdocs_sic\docs\General\ideas-for-the-hollowmen.md","14","__GHOST_URL__/2008/08/01/hollowmen-barely-making-top-50-in-ratings/","hollowmen-barely-making-top-50-in-ratings","E:\E_Data\Mkdocs_sic\docs\General\hollowmen-barely-making-top-50-in-ratings.md","hollowmen-barely-making-top-50-in-ratings.md"
"E:\E_Data\Mkdocs_sic\docs\General\internet-tv-2-miro-free-open-internet-tv-and-video-player.md","14","__GHOST_URL__/2008/06/21/internet-tv-1-teds-excellent-leading-edge-lectures-and-performances/","internet-tv-1-teds-excellent-leading-edge-lectures-and-performances","NOT FOUND","NOT FOUND"
"E:\E_Data\Mkdocs_sic\docs\General\internet-tv-2-miro-free-open-internet-tv-and-video-player.md","24","__GHOST_URL__/2006/10/10/my-kit-part-1-the-tv-room/","my-kit-part-1-the-tv-room","E:\E_Data\Mkdocs_sic\docs\Untagged\my-kit-part-1-the-tv-room.md","../Untagged/my-kit-part-1-the-tv-room.md"
"E:\E_Data\Mkdocs_sic\docs\General\just-two-things-i-wish-i-could-have-shown-pa-hudson.md","27","__GHOST_URL__/2020/04/03/your-mobile-phone-the-radios/","your-mobile-phone-the-radios","E:\E_Data\Mkdocs_sic\docs\General\your-mobile-phone-the-radios.md","your-mobile-phone-the-radios.md"
"E:\E_Data\Mkdocs_sic\docs\General\pc-software-and-tips-master-list.md","16","__GHOST_URL__/2010/06/10/archiving-and-indexing-your-digital-photos/","archiving-and-indexing-your-digital-photos","E:\E_Data\Mkdocs_sic\docs\General\archiving-and-indexing-your-digital-photos.md","archiving-and-indexing-your-digital-photos.md"
"E:\E_Data\Mkdocs_sic\docs\General\pc-software-and-tips-master-list.md","17","__GHOST_URL__/2010/06/10/how-i-find-my-files-including-on-external-disks-and-dvds-blu-ray-movies-etc/","how-i-find-my-files-including-on-external-disks-and-dvds-blu-ray-movies-etc","E:\E_Data\Mkdocs_sic\docs\General\how-i-find-my-files-including-on-external-disks-and-dvds-blu-ray-movies-etc.md","how-i-find-my-files-including-on-external-disks-and-dvds-blu-ray-movies-etc.md"
"E:\E_Data\Mkdocs_sic\docs\General\pc-software-and-tips-master-list.md","18","__GHOST_URL__/2010/06/10/backing-up-my-pcs-main-data/","backing-up-my-pcs-main-data","E:\E_Data\Mkdocs_sic\docs\General\backing-up-my-pcs-main-data.md","backing-up-my-pcs-main-data.md"
"E:\E_Data\Mkdocs_sic\docs\General\phone-battery-poor-but-then-realised.md","20","__GHOST_URL__/2008/07/01/copying-big-files-to-the-mobile-phone/","copying-big-files-to-the-mobile-phone","E:\E_Data\Mkdocs_sic\docs\General\copying-big-files-to-the-mobile-phone.md","copying-big-files-to-the-mobile-phone.md"
"E:\E_Data\Mkdocs_sic\docs\General\podcasts-australian-history.md","14","__GHOST_URL__/2020/04/07/podcasts-practical-tips/","podcasts-practical-tips","E:\E_Data\Mkdocs_sic\docs\General\podcasts-practical-tips.md","podcasts-practical-tips.md"
"E:\E_Data\Mkdocs_sic\docs\General\podcasts-practical-tips.md","14","__GHOST_URL__/2020/04/02/tag-youre-it-mp3s-jpegs/","tag-youre-it-mp3s-jpegs","E:\E_Data\Mkdocs_sic\docs\Freelance\tag-youre-it-mp3s-jpegs.md","../Freelance/tag-youre-it-mp3s-jpegs.md"
"E:\E_Data\Mkdocs_sic\docs\General\starstuff-podcast-is-back.md","14","__GHOST_URL__/2008/06/27/goodbye-and-thank-you-starstuff-show-and-podcast/","goodbye-and-thank-you-starstuff-show-and-podcast","E:\E_Data\Mkdocs_sic\docs\Astronomy\goodbye-and-thank-you-starstuff-show-and-podcast.md","../Astronomy/goodbye-and-thank-you-starstuff-show-and-podcast.md"
"E:\E_Data\Mkdocs_sic\docs\General\starstuff-podcast-is-back.md","16","__GHOST_URL__/2008/07/16/podcast-list-july-2008/","podcast-list-july-2008","E:\E_Data\Mkdocs_sic\docs\General\podcast-list-july-2008.md","podcast-list-july-2008.md"
"E:\E_Data\Mkdocs_sic\docs\General\the-road.md","22","__GHOST_URL__/2009/06/14/hitler-1889-1936-hubris/","hitler-1889-1936-hubris","E:\E_Data\Mkdocs_sic\docs\General\hitler-1889-1936-hubris.md","hitler-1889-1936-hubris.md"
"E:\E_Data\Mkdocs_sic\docs\General\throwing-stones-on-the-asteroid-ryugu.md","14","__GHOST_URL__/2020/05/08/trajectories-a-work-in-4-parts-and-still-in-progress/","trajectories-a-work-in-4-parts-and-still-in-progress","E:\E_Data\Mkdocs_sic\docs\Untagged\trajectories-a-work-in-4-parts-and-still-in-progress.md","../Untagged/trajectories-a-work-in-4-parts-and-still-in-progress.md"
"E:\E_Data\Mkdocs_sic\docs\General\throwing-stones-on-the-asteroid-ryugu.md","16","__GHOST_URL__/2020/05/16/g-ravity-is-universal/","g-ravity-is-universal","E:\E_Data\Mkdocs_sic\docs\General\g-ravity-is-universal.md","g-ravity-is-universal.md"
"E:\E_Data\Mkdocs_sic\docs\General\tivo-only-a-few-days-before-we-find-out-what-we-get-dont-get-and-need.md","14","__GHOST_URL__/2008/06/25/tivo-pvr-finally-arrives-but-the-wise-may-hold-fire-on-buying-one/","tivo-pvr-finally-arrives-but-the-wise-may-hold-fire-on-buying-one","E:\E_Data\Mkdocs_sic\docs\General\tivo-pvr-finally-arrives-but-the-wise-may-hold-fire-on-buying-one.md","tivo-pvr-finally-arrives-but-the-wise-may-hold-fire-on-buying-one.md"
"E:\E_Data\Mkdocs_sic\docs\General\tivo-only-a-few-days-before-we-find-out-what-we-get-dont-get-and-need.md","20","__GHOST_URL__/2008/06/21/internet-tv-1-teds-excellent-leading-edge-lectures-and-performances-2/","internet-tv-1-teds-excellent-leading-edge-lectures-and-performances-2","E:\E_Data\Mkdocs_sic\docs\General\internet-tv-1-teds-excellent-leading-edge-lectures-and-performances-2.md","internet-tv-1-teds-excellent-leading-edge-lectures-and-performances-2.md"
"E:\E_Data\Mkdocs_sic\docs\General\tivo-pvr-finally-arrives-but-the-wise-may-hold-fire-on-buying-one.md","22","__GHOST_URL__/2008/06/11/digital-tv-will-finally-go-full-steam-then-face-a-huge-smack-in-the-head/","digital-tv-will-finally-go-full-steam-then-face-a-huge-smack-in-the-head","E:\E_Data\Mkdocs_sic\docs\General\digital-tv-will-finally-go-full-steam-then-face-a-huge-smack-in-the-head.md","digital-tv-will-finally-go-full-steam-then-face-a-huge-smack-in-the-head.md"
"E:\E_Data\Mkdocs_sic\docs\General\university-ibm-and-the-whole-lot.md","20","__GHOST_URL__/2014/05/06/how-i-got-the-job-at-ibm-in-1982/","how-i-got-the-job-at-ibm-in-1982","E:\E_Data\Mkdocs_sic\docs\General\how-i-got-the-job-at-ibm-in-1982.md","how-i-got-the-job-at-ibm-in-1982.md"
"E:\E_Data\Mkdocs_sic\docs\General\update-ed-kuepper-chords.md","14","__GHOST_URL__/2020/04/30/blokes-love-songs/","blokes-love-songs","E:\E_Data\Mkdocs_sic\docs\Music\blokes-love-songs.md","../Music/blokes-love-songs.md"
"E:\E_Data\Mkdocs_sic\docs\Movies\me-and-movies.md","18","__GHOST_URL__/?cat=3","?cat=3","NOT FOUND","NOT FOUND"
"E:\E_Data\Mkdocs_sic\docs\Movies\my-first-ever-internet-film-review-1996.md","14","__GHOST_URL__/web-internet-same-thing-choo-choo/","web-internet-same-thing-choo-choo","E:\E_Data\Mkdocs_sic\docs\General\web-internet-same-thing-choo-choo.md","../General/web-internet-same-thing-choo-choo.md"
"E:\E_Data\Mkdocs_sic\docs\Music\golden-miles-bulk-import-of-30-old-music-blog-posts.md","26","__GHOST_URL__/tag/goldenmiles/","goldenmiles","NOT FOUND","NOT FOUND"
"E:\E_Data\Mkdocs_sic\docs\Navigation\gps-open-source-maps.md","14","__GHOST_URL__/2008/07/28/got-a-gps-at-last/","got-a-gps-at-last","E:\E_Data\Mkdocs_sic\docs\Navigation\got-a-gps-at-last.md","got-a-gps-at-last.md"
"E:\E_Data\Mkdocs_sic\docs\Navigation\history-mystery-williamstown-observatory-1863.md","30","__GHOST_URL__/2016/06/26/navigation-getting-the-basics-right-part-1/","navigation-getting-the-basics-right-part-1","E:\E_Data\Mkdocs_sic\docs\Navigation\navigation-getting-the-basics-right-part-1.md","navigation-getting-the-basics-right-part-1.md"
"E:\E_Data\Mkdocs_sic\docs\Navigation\not-so-shonky-maps-for-the-gps.md","26","__GHOST_URL__/2008/09/14/gps-working-very-well-for-bush-logging-err-bush-walk-logging/","gps-working-very-well-for-bush-logging-err-bush-walk-logging","E:\E_Data\Mkdocs_sic\docs\Navigation\gps-working-very-well-for-bush-logging-err-bush-walk-logging.md","gps-working-very-well-for-bush-logging-err-bush-walk-logging.md"
"E:\E_Data\Mkdocs_sic\docs\Racecourse\williamstown-racecourse-1945-and-todayaerial-comparison.md","42","__GHOST_URL__/2013/08/30/williamstown-racecourseruins-speculation/","williamstown-racecourseruins-speculation","E:\E_Data\Mkdocs_sic\docs\Racecourse\williamstown-racecourseruins-speculation.md","williamstown-racecourseruins-speculation.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\2001-my-book-review-aged-14-or-15.md","24","__GHOST_URL__/2020/04/11/my-high-tech-scanning-rig/","my-high-tech-scanning-rig","E:\E_Data\Mkdocs_sic\docs\General\my-high-tech-scanning-rig.md","../General/my-high-tech-scanning-rig.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\about-sic.md","39","__GHOST_URL__/2008/06/12/google-reader-giving-it-a-2nd-try-and-impressed/","google-reader-giving-it-a-2nd-try-and-impressed","E:\E_Data\Mkdocs_sic\docs\Untagged\google-reader-giving-it-a-2nd-try-and-impressed.md","google-reader-giving-it-a-2nd-try-and-impressed.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\bushwalks.md","18","__GHOST_URL__/2008/03/09/sherbrooke-forest-and-alfred-nicholas-gardens-walk-march-9th-2008/","sherbrooke-forest-and-alfred-nicholas-gardens-walk-march-9th-2008","E:\E_Data\Mkdocs_sic\docs\Bushwalks\sherbrooke-forest-and-alfred-nicholas-gardens-walk-march-9th-2008.md","../Bushwalks/sherbrooke-forest-and-alfred-nicholas-gardens-walk-march-9th-2008.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\bushwalks.md","19","__GHOST_URL__/2010/03/30/mt-dandenong-kyeema-to-doongalla/","mt-dandenong-kyeema-to-doongalla","E:\E_Data\Mkdocs_sic\docs\Bushwalks\mt-dandenong-kyeema-to-doongalla.md","../Bushwalks/mt-dandenong-kyeema-to-doongalla.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\bushwalks.md","21","__GHOST_URL__/2009/04/21/mt-macedon-loop/","mt-macedon-loop","E:\E_Data\Mkdocs_sic\docs\Bushwalks\mt-macedon-loop.md","../Bushwalks/mt-macedon-loop.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\bushwalks.md","22","__GHOST_URL__/2009/10/28/mt-macedon-highlights-run-through-of-hybrid-walk/","mt-macedon-highlights-run-through-of-hybrid-walk","E:\E_Data\Mkdocs_sic\docs\Bushwalks\mt-macedon-highlights-run-through-of-hybrid-walk.md","../Bushwalks/mt-macedon-highlights-run-through-of-hybrid-walk.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\bushwalks.md","29","__GHOST_URL__/?tag=bushwalks","?tag=bushwalks","NOT FOUND","NOT FOUND"
"E:\E_Data\Mkdocs_sic\docs\Untagged\bushwalks.md","31","__GHOST_URL__/?p=143](__GHOST_URL__/?p=143","?p=143","NOT FOUND","NOT FOUND"
"E:\E_Data\Mkdocs_sic\docs\Untagged\carlsruhe-daylesford-railway.md","14","__GHOST_URL__/2013/03/05/daylesford-x3/","daylesford-x3","E:\E_Data\Mkdocs_sic\docs\Untagged\daylesford-x3.md","daylesford-x3.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\classic-minus-one-album-meddle-by-pink-floyd.md","13","__GHOST_URL__/2008/06/17/classic-albums-minus-one-revolver/","classic-albums-minus-one-revolver","E:\E_Data\Mkdocs_sic\docs\Untagged\classic-albums-minus-one-revolver.md","classic-albums-minus-one-revolver.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\i-one-thought-that-ice.md","14","__GHOST_URL__/2013/03/05/things-i-once-thought/","things-i-once-thought","E:\E_Data\Mkdocs_sic\docs\Untagged\things-i-once-thought.md","things-i-once-thought.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\interesting-youtubers.md","14","__GHOST_URL__/tag/podcasts/","podcasts","NOT FOUND","NOT FOUND"
"E:\E_Data\Mkdocs_sic\docs\Untagged\newspaper-for-one.md","18","__GHOST_URL__/2008/06/12/google-reader-giving-it-a-2nd-try-and-impressed/","google-reader-giving-it-a-2nd-try-and-impressed","E:\E_Data\Mkdocs_sic\docs\Untagged\google-reader-giving-it-a-2nd-try-and-impressed.md","google-reader-giving-it-a-2nd-try-and-impressed.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\sample-page.md","22","__GHOST_URL__/wp-admin/","wp-admin","NOT FOUND","NOT FOUND"
"E:\E_Data\Mkdocs_sic\docs\Untagged\trajectories-a-work-in-4-parts-and-still-in-progress.md","60","__GHOST_URL__/2020/05/10/trajectories-oh-g-undone-by-multiple-coincidences/","trajectories-oh-g-undone-by-multiple-coincidences","E:\E_Data\Mkdocs_sic\docs\Untagged\trajectories-oh-g-undone-by-multiple-coincidences.md","trajectories-oh-g-undone-by-multiple-coincidences.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\trajectories-oh-g-undone-by-multiple-coincidences.md","14","__GHOST_URL__/2020/05/08/trajectories-a-work-in-4-parts-and-still-in-progress/","trajectories-a-work-in-4-parts-and-still-in-progress","E:\E_Data\Mkdocs_sic\docs\Untagged\trajectories-a-work-in-4-parts-and-still-in-progress.md","trajectories-a-work-in-4-parts-and-still-in-progress.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\trajectories-oh-g-undone-by-multiple-coincidences.md","48","__GHOST_URL__/2020/05/09/viruses-how-big-are-they/","viruses-how-big-are-they","E:\E_Data\Mkdocs_sic\docs\Untagged\viruses-how-big-are-they.md","viruses-how-big-are-they.md"
"E:\E_Data\Mkdocs_sic\docs\Untagged\video-conversion-frame-serving-101.md","14","__GHOST_URL__/?p=49","?p=49","NOT FOUND","NOT FOUND"
